priceChangePercent,priceVolatility,priceTrend,precipitation,rootZoneSoilWetness,temperatureMax,temperatureMin,precipitationDelta,soilWetnessDelta,temperatureMaxDelta,riskLevel
-6.6456,0.0,-6.6456,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-6.6456,0.0,-6.6456,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-6.6456,0.0,-6.6456,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-3.5593,1.5432,-5.1025,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-3.5593,1.5432,-5.1025,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-3.5593,1.5432,-5.1025,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-6.5026,1.4224,-5.5692,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-6.5026,1.4224,-5.5692,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-6.5026,1.4224,-5.5692,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
-0.188,2.6357,-4.2239,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
-0.188,2.6357,-4.2239,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
-0.188,2.6357,-4.2239,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
2.4482,3.5609,-2.8895,0.0,0.3657,40.5086,-17.9229,-2.3141,-0.1926,15.3184,MEDIUM_HIGH
2.4482,3.5609,-2.8895,1.1243,0.5379,28.6136,16.4514,-1.1898,-0.0204,3.4234,LOW
2.4482,3.5609,-2.8895,23.6329,0.8029,-8.7971,25.5857,21.3188,0.2446,-33.9873,LOW
