# id;name;commodityType;latitude;longitude
WHEAT_1;Beauce - France;WHEAT;48.10;1.75
WHEAT_2;Henan - China;WHEAT;34.75;113.62
WHEAT_3;Punjab - India;WHEAT;31.15;75.34
WHEAT_4;Krasnodar Krai - Russia;WHEAT;45.04;38.98
WHEAT_5;Kansas - USA;WHEAT;38.50;-98.00

CORN_1;Iowa - USA;CORN;42.03;-93.58
CORN_2;Jilin - China;CORN;43.90;125.32
CORN_3;Mato Grosso - Brazil;CORN;-12.64;-55.42
CORN_4;Cordoba - Argentina;CORN;-31.42;-64.19
CORN_5;Baragan Plain - Romania;CORN;44.50;27.50

SOY_1;Mato Grosso - Brazil;SOY_BEANS;-12.64;-55.42
SOY_2;Illinois - USA;SOY_BEANS;40.00;-89.20
SOY_3;Cordoba - Argentina;SOY_BEANS;-31.42;-64.19
SOY_4;Heilongjiang - China;SOY_BEANS;47.86;127.76
SOY_5;Alto Parana - Paraguay;SOY_BEANS;-25.45;-54.90

COFFEE_1;Minas Gerais - Brazil;COFFEE;-18.51;-44.56
COFFEE_2;Dak Lak - Vietnam;COFFEE;12.71;108.24
COFFEE_3;Antioquia - Colombia;COFFEE;6.55;-75.57
COFFEE_4;Lampung - Indonesia;COFFEE;-4.56;105.41
COFFEE_5;Oromia - Ethiopia;COFFEE;7.55;40.63

NATGAS_1;Texas - USA;NATURAL_GAS;31.00;-99.00
NATGAS_2;Pennsylvania - USA;NATURAL_GAS;41.20;-77.19
NATGAS_3;Louisiana - USA;NATURAL_GAS;31.00;-92.00
NATGAS_4;West Virginia - USA;NATURAL_GAS;38.60;-80.45
NATGAS_5;Oklahoma - USA;NATURAL_GAS;35.59;-97.49
